Listing Name,Display Name,Sector,Brief Description,Address,Website,Phone,Social Media 1,Social Media 1 Type,Social Media 2,Social Media 2 Type,Social Media 3,Social Media 3 Type,Status,ID,lon,lat
"Patchen Avenue Garden
","Patchen Avenue Garden
",Gardens,"Brooklyn Queens Land Trust member garden - The Patchen Avenue United Block Association started this garden in 1981. A new group of gardeners began stewarding the garden in 1995, continuing the traditions started by the elders who founded the garden.","49 Patchen Avenue, Brooklyn, Bed-Stuy, NY 11221",https://bqlt.org/garden/patchen-avenue-garden,,,,,,,,,1375,-73.927371,40.690718
"The People's Garden
","The People's Garden
",Gardens,"Brooklyn Queens Land Trust member garden - This garden started as the Green Avenue Block Association Garden, but was later renamed the People’s Garden. Known for its salsa dance parties and many other community events, the space has become a beloved gathering place created for and by the community.","1237-1241 Broadway, Brooklyn, Bushwick, NY 11221","Facebook: https://www.facebook.com/thepeoplesgardenbushwick/
Instagram: https://www.instagram.com/thepeoplesgardenbk/",,,,,,,,,1376,-73.925651,40.691842
"Ralph-Lincoln Service Center Garden
","Ralph-Lincoln Service Center Garden
",Gardens,"Brooklyn Queens Land Trust member garden - The Ralph-Lincoln Service Center Garden was founded in 1984 by Robert Matthews and a group of community residents who were concerned about the blight in the then drug-infested northeastern part of Crown Heights. There were crack houses, open drug dealing on street corners, dilapidated and abandoned buildings, and trash cans overflowing with rubbish. Robert contacted the 77th Precinct Community Affairs Unit and solicited their involvement in cleaning up the area. The then head of the Community Affairs Unit, Sgt. Bullion, assigned P.O. Robert Manvella. Officer Manvella worked extremely hard along with community residents to keep the lot clean and to remove drug dealers from its corners. It was not an easy task, but with the help of the Community Board and the 77th Precinct, the community was gradually able to decrease the drug activity taking place near the lot. A gazebo was erected in the garden with the assistance of Officer Manvella, and grass and flowers were planted. In 2002, the garden began operating as an independent nonprofit organization, with the assistance of the Trust for Public Land, and was then transferred to BQLT. At that time, the garden received a new fence, the sidewalk was repaired, and a watering system was installed.","1654 St. John’s Place, Brooklyn, Crown Heights, NY 11233",https://bqlt.org/garden/ralph-lincoln-service-center-garden,,,,,,,,,1377,-73.923008,40.669851
"Rogers/Tilden/Veronica Place Garden
","Rogers/Tilden/Veronica Place Garden
",Gardens,Brooklyn Queens Land Trust member garden,"2601-2603 Tilden Avenue, Brooklyn, East Flatbush, NY 11226",https://bqlt.org/garden/rogers-tilden-veronica-place-garden,,,,,,,,,1378,-73.95256,40.646981
"Serenity Community Garden
","Serenity Community Garden
",Gardens,"Brooklyn Queens Land Trust member garden - Formerly known as Sunny Triangle Garden, this lot had fallen into disrepair when it was transferred to BQLT in 2017, thanks to the generous donation of a community member. The garden is currently being transformed into a welcoming green space with raised beds for gardening and a gazebo for social gatherings.","4402 Avenue L, Brooklyn, Flatlands NY 11234","Website: https://serenitycommunitygarden.weebly.com/
Facebook: https://www.facebook.com/groups/501600760633205/",,,,,,,,,1379,-73.932916,40.62302
"Sheffield Garden
","Sheffield Garden
",Gardens,"Brooklyn Queens Land Trust member garden - In 1990, members of the Sheffield South Block Association came together to turn this small corner lot in East New York into a thriving community farm. Over the years, Sheffield Garden has hosted countless weekend barbeques and holiday festivals, had regular visits from the children attending a nearby day care center, and witnessed countless dominoes and checker matches between local senior citizens.","673 Sheffield Avenue, Brooklyn, East New York, NY 11207",https://bqlt.org/garden/sheffield-garden,,,,,,,,,1380,-73.892969,40.660699
"St. John's Pl. Renaissance Garden
","St. John's Pl. Renaissance Garden
",Gardens,"Brooklyn Queens Land Trust member garden.
- St. John’s Place Renaissance Garden is primarily used for children’s programming and as a playground and ecology learning center for a nearby daycare center.","1642 St. John’s Place, Brooklyn, Crown Heights, NY 11233",https://bqlt.org/garden/st-johns-place-renaissance-garden,,,,,,,,,1381,-73.923421,40.66991
"St. Marks Ave./Prospect Heights Community Garden
","St. Marks Ave./Prospect Heights Community Garden
",Gardens,"Brooklyn Queens Land Trust member garden - The St. Marks Avenue/Prospect Heights Community Garden was founded in 1975 by The St. Marks Avenue Block Association. Neighbors were fed up with the neglected lot, where a house had burned down in the 1960s. The city left it unfenced and, by 1975, the lot had become a rubbish dump and rat colony. Neighbors began clearing out the lot, carting out load upon load of trash, and built raised beds to grow vegetables. The garden is completely organic and has become a sanctuary for many different types of butterflies and paying mantis. Neighbors often donate plants and visitors are sent home with flowers or herb bouquet.","207 St. Marks Avenue, Brooklyn, Prospect Heights, NY 11238",https://stmarksgarden.wordpress.com/about/,,,,,,,,,1382,-73.968875,40.67881
"United Herkimer Garden Club
","United Herkimer Garden Club
",Gardens,"Brooklyn Queens Land Trust member garden - The United Herkimer Garden Club was established in 1981. Since then, the garden has served as a place to grow vegetables, pick peaches and blackberries, and hold summer barbecues. The garden has also served as a quiet refuge for community members to relax and work on homework.","97 Herkimer Street, Brooklyn, Bed-Stuy, NY 11216","https://bqlt.org/garden/united-herkimer
Instagram: https://www.instagram.com/uhgardenclub/",,,,,,,,,1383,-73.950169,40.679886
Westbrook Memorial Garden,Westbrook Memorial Garden,Gardens,"Brooklyn Queens Land Trust member garden - Westbrook Memorial Garden beautifies the neighborhood and provides much needed open green space for our community. The gardeners work together to maintain the garden and provide a place for the community to spend valuable time learning about growing food and flowers. Our garden serves as a focal point to unify the community, helping to bring neighbors together.","1233 Pacific Street, Brooklyn, Crown Heights, 11216",https://bqlt.org/garden/westbrook-memorial-garden,,,,,,,,,1384,-73.951544,40.677985
"Woodbine Street Block Assoc. Garden
","Woodbine Street Block Assoc. Garden
",Gardens,"Brooklyn Queens Land Trust member garden - Woodbine Street Block Association Garden was founded in 1979 by neighbors adamant about maintaining civility in a time of upheaval. Following the New York City blackout of 1977, the city left their block torn apart and streets virtually impassable for nearly three years. Neighbors had to fight for streetlights and for trees to be planted. Built on the ashes of two homes that were burned to the ground, the garden was quickly filled with beds of strawberries, collard greens, and peppers. The current crop of gardeners wish to thank the Block Association and garden elders for the opportunity to restore this garden to its former glory and to let it serve as a beautiful beacon of hope for the neighborhood.","146 Woodbine Street, Brookyln, Bushwick, NY 11221",Facebook: https://www.facebook.com/Woodbine-Street-Block-Association-Garden-112445888847576/,,,,,,,,,1385,-73.91644,40.69256
138th Street Community Garden,138th Street Community Garden,Gardens,GreenThumb garden,"624-638 East 138th Street Bronx, NY",https://www.facebook.com/138th-Street-Community-Garden-223381227998653/,,,,,,,,,1386,-73.915315,40.805716
Bainbridge Garden,Bainbridge Garden,Gardens,GreenThumb garden,"2980 Bainbridge Avenue Bronx, NY",https://www.facebook.com/bainbridgeavegarden/,,,,,,,,,1387,-73.883937,40.870947
Bean Morris Garden,Bean Morris Garden,Gardens,GreenThumb garden,"2096 Morris Avenue Bronx, NY",https://www.facebook.com/bisselgardens/,,,,,,,,,1388,-73.90427,40.854326
Bissel Gardens,Bissel Gardens,Gardens,GreenThumb garden - Bissel Gardens is a 2.5 acre community garden and four-block public path in the Wakefield section of the Bronx bringing people together.,"4510 Furman Avenue Bronx, NY",,,,,,,,,,1389,-73.849415,40.899853
Black Joy Farm,Black Joy Farm,Gardens,"GreenThumb garden - Black Joy Farm, formerly know as Libertad Urban Farm is the result of a 7 year community led campaign to create a radical food-growing green space in the South Bronx. Since 2014, we have grown thousands of pounds of food. Housed our South Bronx Mobile Market Buying Club, hosted over 100 Summer Youth Employment, put on dozens of workshops such as family movie night, herbs as medicine, community workdays, team-building exercises, and thrown dope parties that center the radical joy of Black MaGes. ","972 Simpson Street Bronx, NY",https://www.theblackfeministproject.org/blackjoyfarm,,,,,,,,,1390,-73.892648,40.822003
Bronx Sunshine Garden,Bronx Sunshine Garden,Gardens,GreenThumb garden,"1768 Bryant Avenue Bronx, NY",https://www.facebook.com/Bronx-Sunshine-Garden-Community-Garden-460877840942447/,,,,,,,,,1391,-73.884678,40.836759
Bryant Hill Community Garden,Bryant Hill Community Garden,Gardens,GreenThumb garden,"901 Bryant Avenue Bronx, NY",,,,,,,,,,1392,-73.887204,40.819896
Carpenter Avenue Community Garden,Carpenter Avenue Community Garden,Gardens,GreenThumb garden,"4501 Carpenter Avenue Bronx, NY",,,,,,,,,,1393,-73.855648,40.901198
Centro Cultural Rincon Criollo,Centro Cultural Rincon Criollo,Gardens,GreenThumb garden,"749 Brook Avenue Bronx, NY",,,,,,,,,,1394,-73.911997,40.820497
Claremont Neighborhood Garden,Claremont Neighborhood Garden,Gardens,GreenThumb garden,"1280 Teller Avenue Bronx, NY",,,,,,,,,,1395,-73.910205,40.834057
College Avenue Garden,College Avenue Garden,Gardens,GreenThumb garden,"1420 College Avenue Bronx, NY",,,,,,,,,,1396,-73.909987,40.838101
Concrete Dreams Community Garden,Concrete Dreams Community Garden,Gardens,GreenThumb garden,"745 Jennings Street Bronx, NY",,,,,,,,,,1397,-73.898202,40.831971
Cook Community Farm,Cook Community Farm,Gardens,GreenThumb garden,"2173 Bathgate Avenue Bronx, NY",,,,,,,,,,1398,-73.894135,40.852567
Courtland Avenue Association Garden,Courtland Avenue Association Garden,Gardens,GreenThumb garden,"364-366 East 158th Street Bronx, NY",,,,,,,,,,1399,-73.916173,40.822717
Damiana Pizarro Community Garden,Damiana Pizarro Community Garden,Gardens,GreenThumb garden,"580 Crotona Park South Bronx, NY",,,,,,,,,,1400,-73.900433,40.835042
Demera Santiago Garden,Demera Santiago Garden,Gardens,GreenThumb garden,"941 Avenue St. John Bronx, NY",,,,,,,,,,1401,-73.902241,40.815257
Dred Scott Bird Sanctuary Garden,Dred Scott Bird Sanctuary Garden,Gardens,GreenThumb garden,"1304 Grant Ave. Bronx, NY",,,,,,,,,,1402,-73.913507,40.836065
